PC	eigenvalue	proportion of total	cumulative proportion
411	1.43914	1.4884E-4	0.75425
412	1.44516	1.4946E-4	0.7544
413	6.24944	6.4632E-4	0.75504
414	6.24062	6.4541E-4	0.75569
415	6.22999	6.4431E-4	0.75633
416	1.45433	1.5041E-4	0.75648
417	1.46424	1.5143E-4	0.75664
418	6.21328	6.4258E-4	0.75728
419	6.20677	6.4191E-4	0.75792
420	1.47949	1.5301E-4	0.75807
421	1.48337	1.5341E-4	0.75823
422	1.49112	1.5421E-4	0.75838
423	6.18296	6.3944E-4	0.75902
424	6.17724	6.3885E-4	0.75966
425	1.50101	1.5524E-4	0.75981
426	6.16246	6.3732E-4	0.76045
427	6.15401	6.3645E-4	0.76109
428	6.13791	6.3478E-4	0.76172
429	1.50939	1.561E-4	0.76188
430	1.50971	1.5613E-4	0.76203
431	1.52103	1.5731E-4	0.76219
432	1.52998	1.5823E-4	0.76235
433	1.54059	1.5933E-4	0.76251
434	1.5486	1.6016E-4	0.76267
435	1.54103	1.5937E-4	0.76283
436	1.55508	1.6083E-4	0.76299
437	1.56162	1.615E-4	0.76315
438	6.11034	6.3193E-4	0.76378
439	1.57266	1.6265E-4	0.76395
440	1.58146	1.6355E-4	0.76411
441	6.09104	6.2994E-4	0.76474
442	6.08799	6.2962E-4	0.76537
443	1.59512	1.6497E-4	0.76553
444	1.60718	1.6622E-4	0.7657
445	6.07417	6.2819E-4	0.76633
446	6.06703	6.2745E-4	0.76696
447	6.05912	6.2664E-4	0.76758
448	6.05395	6.261E-4	0.76821
449	1.61763	1.673E-4	0.76838
450	1.62262	1.6781E-4	0.76854
451	6.038	6.2445E-4	0.76917
452	6.03046	6.2367E-4	0.76979
453	6.01282	6.2185E-4	0.77041
454	6.00803	6.2135E-4	0.77104
455	1.63686	1.6928E-4	0.7712
456	1.64042	1.6965E-4	0.77137
457	1.65078	1.7072E-4	0.77154
458	1.6616	1.7184E-4	0.77172
459	1.67169	1.7289E-4	0.77189
460	5.98416	6.1888E-4	0.77251
461	1.68207	1.7396E-4	0.77268
462	1.68779	1.7455E-4	0.77286
463	5.96961	6.1738E-4	0.77347
464	5.96717	6.1713E-4	0.77409
465	5.94764	6.1511E-4	0.77471
466	5.95072	6.1543E-4	0.77532
467	5.93649	6.1395E-4	0.77594
468	5.93551	6.1385E-4	0.77655
469	5.92934	6.1321E-4	0.77716
470	1.69868	1.7568E-4	0.77734
471	1.70801	1.7664E-4	0.77752
472	5.91679	6.1192E-4	0.77813
473	5.8993	6.1011E-4	0.77874
474	1.73198	1.7912E-4	0.77892
475	1.73842	1.7979E-4	0.7791
476	1.74085	1.8004E-4	0.77928
477	5.88588	6.0872E-4	0.77988
478	5.87334	6.0742E-4	0.78049
479	5.8756	6.0766E-4	0.7811
480	1.75529	1.8153E-4	0.78128
481	1.7681	1.8286E-4	0.78146
482	5.84441	6.0443E-4	0.78207
483	5.83593	6.0355E-4	0.78267
484	5.82856	6.0279E-4	0.78328
485	1.78095	1.8419E-4	0.78346
486	5.81334	6.0122E-4	0.78406
487	5.80979	6.0085E-4	0.78466
488	5.7908	5.9889E-4	0.78526
489	1.8042	1.8659E-4	0.78545
490	5.77922	5.9769E-4	0.78604
491	5.77494	5.9725E-4	0.78664
492	5.76498	5.9622E-4	0.78724
493	5.75641	5.9533E-4	0.78783
494	1.82187	1.8842E-4	0.78802
495	1.82734	1.8898E-4	0.78821
496	1.83002	1.8926E-4	0.7884
497	5.73926	5.9356E-4	0.78899
498	5.72868	5.9246E-4	0.78959
499	5.72451	5.9203E-4	0.79018
500	5.70635	5.9015E-4	0.79077
501	1.85707	1.9206E-4	0.79096
502	1.86844	1.9323E-4	0.79115
503	5.69127	5.8859E-4	0.79174
504	5.6794	5.8736E-4	0.79233
505	5.66977	5.8637E-4	0.79292
506	5.66565	5.8594E-4	0.7935
507	1.89045	1.9551E-4	0.7937
508	1.89846	1.9634E-4	0.79389
509	5.65581	5.8493E-4	0.79448
510	5.64867	5.8419E-4	0.79506
511	5.63413	5.8268E-4	0.79565
512	5.62536	5.8178E-4	0.79623
513	1.90935	1.9747E-4	0.79642
514	5.61027	5.8022E-4	0.797
515	1.92965	1.9956E-4	0.7972
516	5.60046	5.792E-4	0.79778
517	5.59299	5.7843E-4	0.79836
518	5.58046	5.7713E-4	0.79894
519	5.57573	5.7664E-4	0.79952
520	5.57251	5.7631E-4	0.80009
521	1.93971	2.0061E-4	0.80029
522	5.55352	5.7435E-4	0.80087
523	1.95301	2.0198E-4	0.80107
524	5.53934	5.7288E-4	0.80164
525	5.53277	5.722E-4	0.80221
526	5.52062	5.7094E-4	0.80279
527	1.96569	2.0329E-4	0.80299
528	5.50784	5.6962E-4	0.80356
529	5.50019	5.6883E-4	0.80413
530	5.49409	5.682E-4	0.8047
531	5.48019	5.6676E-4	0.80526
532	1.98421	2.0521E-4	0.80547
533	5.4725	5.6597E-4	0.80603
534	5.46011	5.6469E-4	0.8066
535	5.45639	5.643E-4	0.80716
536	5.44867	5.635E-4	0.80773
537	5.4339	5.6198E-4	0.80829
538	5.42467	5.6102E-4	0.80885
539	5.41593	5.6012E-4	0.80941
540	1.99921	2.0676E-4	0.80962
541	5.40421	5.5891E-4	0.81017
542	5.39138	5.5758E-4	0.81073
543	5.37857	5.5625E-4	0.81129
544	2.01819	2.0872E-4	0.8115
545	2.02355	2.0928E-4	0.81171
546	5.36419	5.5477E-4	0.81226
547	5.3528	5.5359E-4	0.81281
548	5.34824	5.5312E-4	0.81337
549	5.33462	5.5171E-4	0.81392
550	2.04277	2.1126E-4	0.81413
551	5.31712	5.499E-4	0.81468
552	2.04927	2.1194E-4	0.81489
553	2.05817	2.1286E-4	0.81511
554	2.05978	2.1302E-4	0.81532
555	5.30756	5.4891E-4	0.81587
556	5.30382	5.4852E-4	0.81642
557	5.30034	5.4816E-4	0.81696
558	5.29344	5.4745E-4	0.81751
559	2.06957	2.1404E-4	0.81773
560	2.07395	2.1449E-4	0.81794
561	2.07909	2.1502E-4	0.81815
562	5.27789	5.4584E-4	0.8187
563	5.26369	5.4437E-4	0.81925
564	5.26167	5.4416E-4	0.81979
565	5.25587	5.4356E-4	0.82033
566	5.25182	5.4314E-4	0.82088
567	2.0868	2.1582E-4	0.82109
568	2.0889	2.1603E-4	0.82131
569	2.09662	2.1683E-4	0.82152
570	2.09963	2.1714E-4	0.82174
571	5.23937	5.4186E-4	0.82228
572	5.23245	5.4114E-4	0.82282
573	5.22058	5.3991E-4	0.82336
574	5.20754	5.3857E-4	0.8239
575	5.20706	5.3852E-4	0.82444
576	2.11263	2.1849E-4	0.82466
